"범죄별(1)",범죄별(2),범죄별(3),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"범죄별(1)",범죄별(2),범죄별(3),합계,구속,구속,구속,구속,구속,불구속,불구속,불구속,불구속,불구속,불구속
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,현행범체포,긴급체포,사전영장,체포,소계,불구속입건,영장요구_검사기각,영장요구_판사기각,적부심석방,검사구속취소
"합계",소계,소계,8952,463,244,102,55,62,8489,8413,39,36,1,-
"형법범",소계,소계,7677,332,203,60,42,27,7345,7278,34,32,1,-
"형법범",재산범죄,소계,3740,75,37,16,13,9,3665,3640,16,8,1,-
"형법범",재산범죄,절도,2260,42,15,13,10,4,2218,2201,11,6,-,-
"형법범",재산범죄,장물,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",재산범죄,사기,393,20,14,1,2,3,373,371,1,1,-,-
"형법범",재산범죄,횡령,284,2,1,-,1,-,282,281,-,-,1,-
"형법범",재산범죄,배임,1,-,-,-,-,-,1,1,-,-,-,-
"형법범",재산범죄,손괴,802,11,7,2,-,2,791,786,4,1,-,-
"형법범",강력범죄(흉악),소계,719,109,50,35,14,10,610,600,2,8,-,-
"형법범",강력범죄(흉악),살인,50,38,19,14,-,5,12,12,-,-,-,-
"형법범",강력범죄(흉악),강도,37,11,3,6,2,-,26,24,1,1,-,-
"형법범",강력범죄(흉악),방화,141,27,13,10,1,3,114,112,1,1,-,-
"형법범",강력범죄(흉악),성폭력,491,33,15,5,11,2,458,452,-,6,-,-
"형법범",강력범죄(폭력),소계,2038,87,62,8,9,8,1951,1936,8,7,-,-
"형법범",강력범죄(폭력),폭행,1110,22,16,-,3,3,1088,1081,5,2,-,-
"형법범",강력범죄(폭력),상해,530,43,32,6,4,1,487,486,1,-,-,-
"형법범",강력범죄(폭력),협박,362,21,14,1,2,4,341,335,2,4,-,-
"형법범",강력범죄(폭력),공갈,16,-,-,-,-,-,16,16,-,-,-,-
"형법범",강력범죄(폭력),약취와유인,10,1,-,1,-,-,9,8,-,1,-,-
"형법범",강력범죄(폭력),체포와감금,6,-,-,-,-,-,6,6,-,-,-,-
"형법범",강력범죄(폭력),폭력행위등(손괴강요주거침입등),4,-,-,-,-,-,4,4,-,-,-,-
"형법범",강력범죄(폭력),폭력행위등(단체등의구성·활동),-,-,-,-,-,-,-,-,-,-,-,-
"형법범",위조범죄,소계,7,-,-,-,-,-,7,7,-,-,-,-
"형법범",위조범죄,통화,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",위조범죄,유가증권·인지·우표,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",위조범죄,문서,7,-,-,-,-,-,7,7,-,-,-,-
"형법범",위조범죄,인장,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",공무원범죄,소계,2,-,-,-,-,-,2,2,-,-,-,-
"형법범",공무원범죄,직무유기,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",공무원범죄,직권남용,2,-,-,-,-,-,2,2,-,-,-,-
"형법범",공무원범죄,수뢰,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",공무원범죄,증뢰,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",풍속범죄,소계,133,7,4,-,3,-,126,124,1,1,-,-
"형법범",풍속범죄,도박과복표,8,-,-,-,-,-,8,8,-,-,-,-
"형법범",풍속범죄,신앙,1,-,-,-,-,-,1,-,-,1,-,-
"형법범",풍속범죄,기타음란행위,124,7,4,-,3,-,117,116,1,-,-,-
"형법범",과실범죄,소계,33,-,-,-,-,-,33,33,-,-,-,-
"형법범",과실범죄,과실치사상,11,-,-,-,-,-,11,11,-,-,-,-
"형법범",과실범죄,업무상과실치사상,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",과실범죄,실화,22,-,-,-,-,-,22,22,-,-,-,-
"형법범",기타형법범죄,소계,1005,54,50,1,3,-,951,936,7,8,-,-
"형법범",기타형법범죄,명예,65,-,-,-,-,-,65,64,1,-,-,-
"형법범",기타형법범죄,권리행사방해,7,-,-,-,-,-,7,7,-,-,-,-
"형법범",기타형법범죄,신용업무경매,327,10,8,1,1,-,317,316,1,-,-,-
"형법범",기타형법범죄,주거침입,330,11,10,-,1,-,319,315,2,2,-,-
"형법범",기타형법범죄,비밀침해,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,유기,1,-,-,-,-,-,1,1,-,-,-,-
"형법범",기타형법범죄,교통방해,4,-,-,-,-,-,4,4,-,-,-,-
"형법범",기타형법범죄,공무방해,259,33,32,-,1,-,226,219,2,5,-,-
"형법범",기타형법범죄,도주와범인은닉,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,위증과증거인멸,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,무고,9,-,-,-,-,-,9,8,1,-,-,-
"형법범",기타형법범죄,공안을해하는죄,3,-,-,-,-,-,3,2,-,1,-,-
"형법범",기타형법범죄,내란의죄,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,음용수에관한죄,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,일수와수리에관한죄,-,-,-,-,-,-,-,-,-,-,-,-
"형법범",기타형법범죄,기타,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",소계,소계,1275,131,41,42,13,35,1144,1135,5,4,-,-
"특별법범",개발제한구역의지정및관리에관한특별조치법,소계,2,-,-,-,-,-,2,2,-,-,-,-
"특별법범",개인정보보호법,소계,1,-,-,-,-,-,1,1,-,-,-,-
"특별법범",건축법,소계,1,-,-,-,-,-,1,1,-,-,-,-
"특별법범",게임산업진흥에관한법률,소계,2,-,-,-,-,-,2,2,-,-,-,-
"특별법범",경범죄처벌법,소계,107,1,1,-,-,-,106,105,1,-,-,-
"특별법범",공유재산및물품관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",공인중개사법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",공중위생관리법,소계,4,-,-,-,-,-,4,4,-,-,-,-
"특별법범",공직선거법,소계,15,2,2,-,-,-,13,13,-,-,-,-
"특별법범",교통사고처리특례법,소계,80,-,-,-,-,-,80,80,-,-,-,-
"특별법범",국민체육진흥법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",국토의계획및이용에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",근로기준법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",근로자퇴직급여보장법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",농수산물의원산지표시에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",농지법,소계,2,-,-,-,-,-,2,2,-,-,-,-
"특별법범",대기환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",대부업등의등록및금융이용자보호에관한법률,소계,1,-,-,-,-,-,1,1,-,-,-,-
"특별법범",도로교통법,소계,119,-,-,-,-,-,119,119,-,-,-,-
"특별법범",도로법,소계,2,-,-,-,-,-,2,2,-,-,-,-
"특별법범",마약류관리에관한법률,소계,343,106,27,38,10,31,237,233,1,3,-,-
"특별법범",물환경보전법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",병역법,소계,7,-,-,-,-,-,7,7,-,-,-,-
"특별법범",부정경쟁방지및영업비밀보호에관한법률,소계,1,-,-,-,-,-,1,1,-,-,-,-
"특별법범",부정수표단속법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",사행행위등규제및처벌특례법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산림자원의조성및관리에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산업안전보건법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",산지관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",상표법,소계,2,-,-,-,-,-,2,2,-,-,-,-
"특별법범",선박안전법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",선박직원법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",성매매알선등행위의처벌에관한법률,소계,7,-,-,-,-,-,7,7,-,-,-,-
"특별법범",수산업법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",수산자원관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",식품위생법,소계,3,-,-,-,-,-,3,3,-,-,-,-
"특별법범",아동·청소년의성보호에관한법률(성매수등),소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",아동·청소년의성보호에관한법률(성착취물등),소계,8,3,-,-,-,3,5,5,-,-,-,-
"특별법범",아동복지법,소계,104,2,-,2,-,-,102,101,-,1,-,-
"특별법범",여객자동차운수사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",여신전문금융업법,소계,26,1,-,1,-,-,25,25,-,-,-,-
"특별법범",예비군법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",외국환거래법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",의료법,소계,3,-,-,-,-,-,3,3,-,-,-,-
"특별법범",자동차관리법,소계,7,-,-,-,-,-,7,7,-,-,-,-
"특별법범",자동차손해배상보장법,소계,6,-,-,-,-,-,6,6,-,-,-,-
"특별법범",저작권법,소계,4,-,-,-,-,-,4,4,-,-,-,-
"특별법범",전자금융거래법,소계,16,-,-,-,-,-,16,16,-,-,-,-
"특별법범",정보통신망이용촉진및정보보호등에관한법률,소계,65,-,-,-,-,-,65,65,-,-,-,-
"특별법범",조세범처벌법,소계,3,-,-,-,-,-,3,3,-,-,-,-
"특별법범",주민등록법,소계,7,-,-,-,-,-,7,7,-,-,-,-
"특별법범",청소년보호법,소계,13,-,-,-,-,-,13,13,-,-,-,-
"특별법범",축산물위생관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",출입국관리법,소계,3,1,-,1,-,-,2,2,-,-,-,-
"특별법범",통신비밀보호법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",특가법(도주차량),소계,53,1,-,-,1,-,52,52,-,-,-,-
"특별법범",폐기물관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",풍속영업의규제에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",학원의설립운영및과외교습에관한법률,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",화물자동차운수사업법,소계,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",기타특별법,소계,258,14,11,-,2,1,244,241,3,-,-,-
